group,model_A,model_B,total_pairs,acc_A,acc_B,p_A,r_A,f1_A,p_B,r_B,f1_B,b11,b10,b01,b00,statistic,p_value,exact,significant,conclusion
paragraph,v2_gru,v2_lstm,5302,0.11788004526593739,0.11712561297623539,0.001280819724623759,0.002560819462227913,0.0017075773745997861,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,616,9,5,4672,5.0,0.4239501953125,True,False,No significant difference
paragraph,v2_gru,v2_transformer,5302,0.11788004526593739,0.12693323274236137,0.001280819724623759,0.002560819462227913,0.0017075773745997861,0.008965738072366315,0.01792573623559539,0.011953041622198507,477,148,196,4481,6.421511627906977,0.011274615201549548,False,True,v2_transformer (better F1)
paragraph,v2_gru,v3_gru,5302,0.11788004526593739,0.11788004526593739,0.001280819724623759,0.002560819462227913,0.0017075773745997861,0.001280819724623759,0.002560819462227913,0.0017075773745997861,625,0,0,4677,0.0,1.0,False,False,No significant difference
paragraph,v2_gru,v3_lstm,5302,0.11788004526593739,0.11674839683138438,0.001280819724623759,0.002560819462227913,0.0017075773745997861,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,611,14,8,4669,8.0,0.28627872467041016,True,False,No significant difference
paragraph,v2_gru,v3_transformer,5302,0.11788004526593739,0.12391550358355338,0.001280819724623759,0.002560819462227913,0.0017075773745997861,0.006404098623118796,0.012804097311139564,0.008537886872998932,512,113,145,4532,3.7248062015503876,0.053609848745940485,False,False,No significant difference
paragraph,v2_lstm,v2_transformer,5302,0.11712561297623539,0.12693323274236137,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,0.008965738072366315,0.01792573623559539,0.011953041622198507,468,153,205,4476,7.26536312849162,0.007029705433389135,False,True,v2_transformer (better F1)
paragraph,v2_lstm,v3_gru,5302,0.11712561297623539,0.11788004526593739,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,0.001280819724623759,0.002560819462227913,0.0017075773745997861,616,5,9,4672,5.0,0.4239501953125,True,False,No significant difference
paragraph,v2_lstm,v3_lstm,5302,0.11712561297623539,0.11674839683138438,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,616,5,3,4678,3.0,0.7265625,True,False,No significant difference
paragraph,v2_lstm,v3_transformer,5302,0.11712561297623539,0.12391550358355338,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,0.006404098623118796,0.012804097311139564,0.008537886872998932,503,118,154,4527,4.5036764705882355,0.03382206137176013,False,True,v3_transformer (better F1)
paragraph,v2_transformer,v3_gru,5302,0.12693323274236137,0.11788004526593739,0.008965738072366315,0.01792573623559539,0.011953041622198507,0.001280819724623759,0.002560819462227913,0.0017075773745997861,477,196,148,4481,6.421511627906977,0.011274615201549548,False,True,v2_transformer (better F1)
paragraph,v2_transformer,v3_lstm,5302,0.12693323274236137,0.11674839683138438,0.008965738072366315,0.01792573623559539,0.011953041622198507,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,463,210,156,4473,7.674863387978142,0.005599533244884543,False,True,v2_transformer (better F1)
paragraph,v2_transformer,v3_transformer,5302,0.12693323274236137,0.12391550358355338,0.008965738072366315,0.01792573623559539,0.011953041622198507,0.006404098623118796,0.012804097311139564,0.008537886872998932,622,51,35,4594,2.616279069767442,0.10577220785075223,False,False,No significant difference
paragraph,v3_gru,v3_lstm,5302,0.11788004526593739,0.11674839683138438,0.001280819724623759,0.002560819462227913,0.0017075773745997861,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,611,14,8,4669,8.0,0.28627872467041016,True,False,No significant difference
paragraph,v3_gru,v3_transformer,5302,0.11788004526593739,0.12391550358355338,0.001280819724623759,0.002560819462227913,0.0017075773745997861,0.006404098623118796,0.012804097311139564,0.008537886872998932,512,113,145,4532,3.7248062015503876,0.053609848745940485,False,False,No significant difference
paragraph,v3_lstm,v3_transformer,5302,0.11674839683138438,0.12391550358355338,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,0.006404098623118796,0.012804097311139564,0.008537886872998932,498,121,159,4524,4.889285714285714,0.027023864370910533,False,True,v3_transformer (better F1)
summarized,v1_gru,v1_lstm,5946,0.334510595358224,0.4007736293306424,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.17963496637848222,0.3591549295774648,0.23948772678762006,1565,424,818,3139,124.35507246376811,7.044053153584215e-29,False,True,v1_lstm (better F1)
summarized,v1_gru,v1_transformer,5946,0.334510595358224,0.25109317188025565,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.03714377201408902,0.07426376440460948,0.04951974386339382,891,1098,602,3355,144.13235294117646,3.323945881422842e-33,False,True,v1_gru (better F1)
summarized,v1_gru,v2_gru,5946,0.334510595358224,0.27833837874201145,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.06308037143772013,0.12612035851472472,0.08409818569903948,812,1177,843,3114,54.89554455445545,1.2710883006263225e-13,False,True,v1_gru (better F1)
summarized,v1_gru,v2_lstm,5946,0.334510595358224,0.2561385805583586,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.041946845981428116,0.08386683738796415,0.055923159018143015,724,1265,799,3158,104.76017441860465,1.3785041459660402e-24,False,True,v1_gru (better F1)
summarized,v1_gru,v2_transformer,5946,0.334510595358224,0.2726202489068281,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.05763688760806916,0.11523687580025609,0.0768409818569904,816,1173,805,3152,68.09352881698686,1.559215307619619e-16,False,True,v1_gru (better F1)
summarized,v1_gru,v3_gru,5946,0.334510595358224,0.25109317188025565,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.03714377201408902,0.07426376440460948,0.04951974386339382,770,1219,723,3234,126.1714727085479,2.8203036513507776e-29,False,True,v1_gru (better F1)
summarized,v1_gru,v3_lstm,5946,0.334510595358224,0.2685839219643458,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.053794428434197884,0.10755441741357234,0.07171824973319103,756,1233,841,3116,73.71311475409836,9.033667579887403e-18,False,True,v1_gru (better F1)
summarized,v1_gru,v3_transformer,5946,0.334510595358224,0.2537840565085772,0.11655459494076209,0.2330345710627401,0.15538954108858055,0.03970541146333654,0.0793854033290653,0.05293489861259339,812,1177,697,3260,122.43383137673426,1.854996747198448e-28,False,True,v1_gru (better F1)
summarized,v1_lstm,v1_transformer,5946,0.4007736293306424,0.25109317188025565,0.17963496637848222,0.3591549295774648,0.23948772678762006,0.03714377201408902,0.07426376440460948,0.04951974386339382,791,1592,702,2861,344.51656495204884,6.6261596271828695e-77,False,True,v1_lstm (better F1)
summarized,v1_lstm,v2_gru,5946,0.4007736293306424,0.27833837874201145,0.17963496637848222,0.3591549295774648,0.23948772678762006,0.06308037143772013,0.12612035851472472,0.08409818569903948,832,1551,823,2740,222.63226621735467,2.411206252619344e-50,False,True,v1_lstm (better F1)
summarized,v1_lstm,v2_lstm,5946,0.4007736293306424,0.2561385805583586,0.17963496637848222,0.3591549295774648,0.23948772678762006,0.041946845981428116,0.08386683738796415,0.055923159018143015,666,1717,857,2706,286.66705516705514,2.64721417167025e-64,False,True,v1_lstm (better F1)
summarized,v1_lstm,v2_transformer,5946,0.4007736293306424,0.2726202489068281,0.17963496637848222,0.3591549295774648,0.23948772678762006,0.05763688760806916,0.11523687580025609,0.0768409818569904,806,1577,815,2748,242.10744147157192,1.3652035541486183e-54,False,True,v1_lstm (better F1)
summarized,v1_lstm,v3_gru,5946,0.4007736293306424,0.25109317188025565,0.17963496637848222,0.3591549295774648,0.23948772678762006,0.03714377201408902,0.07426376440460948,0.04951974386339382,720,1663,773,2790,324.43390804597703,1.5671857655070923e-72,False,True,v1_lstm (better F1)
summarized,v1_lstm,v3_lstm,5946,0.4007736293306424,0.2685839219643458,0.17963496637848222,0.3591549295774648,0.23948772678762006,0.053794428434197884,0.10755441741357234,0.07171824973319103,766,1617,831,2732,251.72589869281046,1.091901027518023e-56,False,True,v1_lstm (better F1)
summarized,v1_lstm,v3_transformer,5946,0.4007736293306424,0.2537840565085772,0.17963496637848222,0.3591549295774648,0.23948772678762006,0.03970541146333654,0.0793854033290653,0.05293489861259339,810,1573,699,2864,335.44410211267603,6.26734409000383e-75,False,True,v1_lstm (better F1)
summarized,v1_transformer,v2_gru,5946,0.25109317188025565,0.27833837874201145,0.03714377201408902,0.07426376440460948,0.04951974386339382,0.06308037143772013,0.12612035851472472,0.08409818569903948,670,823,985,3468,14.336836283185841,0.00015284464574901013,False,True,v2_gru (better F1)
